Unnamed: 0,m49_code,food_supply_stage_Harvest
3892,231,False
6499,288,False
5373,270,False
12399,478,True
17886,706,False
13510,508,False
5121,242,False
5348,270,False
15765,624,True
5586,270,False
4554,24,False
10510,430,True
20695,768,False
18974,716,False
11405,454,False
5340,270,False
4399,24,True
21142,800,False
19863,729,True
11563,466,False
12289,478,True
16332,646,True
1388,148,False
11611,466,False
1457,148,False
8758,384,False
13456,508,False
12923,50,True
10263,426,True
22336,834,False
19910,729,False
11281,454,False
2197,204,False
24612,854,False
13895,508,False
10365,426,False
893,120,False
6329,288,True
9486,404,False
14846,566,False
40,108,False
21385,800,False
9243,404,False
24834,894,False
5035,24,False
2687,204,False
5230,270,False
2343,204,False
13995,516,False
15935,624,False
10472,430,True
10841,454,False
17365,686,False
2144,180,False
20194,760,True
5101,24,False
1297,148,True
728,120,False
11110,454,False
7651,356,False
20540,768,False
5869,288,False
2068,180,False
22295,834,False
5515,270,False
13579,508,False
18918,716,True
19795,729,True
4988,24,True
10407,426,True
20475,768,False
5532,270,True
24811,894,True
552,116,False
1857,180,False
5365,270,False
12422,478,True
5019,24,True
1801,180,False
5891,288,False
6977,324,False
3773,231,False
10862,454,False
11344,454,False
20331,768,False
24594,854,False
15236,566,False
870,120,False
13047,50,False
9376,404,True
7365,356,False
14782,562,False
25243,894,False
1028,148,True
19854,729,False
25244,894,False
6354,288,True
11226,454,False
5243,270,False
3419,231,False
16787,686,False
13465,508,False
11657,466,False
807,120,False
9915,404,False
15999,624,False
5825,288,True
4630,24,False
11927,466,False
10231,426,False
15861,624,False
11769,466,False
18602,710,True
8379,356,False
5961,288,False
1411,148,False
6078,288,False
3868,231,False
6788,324,False
24508,854,True
9959,404,True
9527,404,False
13993,516,True
14219,516,False
24024,854,False
